时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018/12/1,原生,完美贴合-小米-开屏(原),114,9,0.46,4.04,7.89%
2018/12/1,开屏,十字绣hj-hj-开屏,11,0,0,0,0.00%
2018/12/1,插屏,六角拼拼-金立游戏-插屏,52,3,0.15,2.88,5.77%
2018/12/1,开屏,欢乐打豆豆-三星-开屏,152,24,3.34,21.97,15.79%
2018/12/1,开屏,贪吃蛇大战2048-应用宝-开屏,165,20,1.42,8.61,12.12%
2018/12/1,插屏,开心玻璃杯-qihoo-插屏,"1,090",98,5.28,4.84,8.99%
2018/12/1,插屏,奇妙的森林-4399-插屏,0,0,0,0,0.00%
2018/12/1,开屏,贪吃蛇大战2048-应用宝-激励开屏,0,0,0,0,0.00%
2018/12/1,原生,完美贴合-4399-开屏(原),220,8,0.83,3.77,3.64%
2018/12/1,Banner,指尖陀螺-qihoo-横幅,"2,507",12,0.83,0.33,0.48%
2018/12/1,插屏,贪吃蛇大战2048-青柠-插屏,0,0,0,0,0.00%
2018/12/1,原生,吃鸡大英雄-4399-开屏(原),"2,637",125,17.61,6.68,4.74%
2018/12/1,开屏,十字绣-oppo-激励开屏,25,5,0.53,21.2,20.00%
2018/12/1,Banner,红心大战接龙-金立游戏-横幅,"2,713",8,0.73,0.27,0.29%
2018/12/1,原生,面条滑溜溜-小米-开屏(原),633,34,4.95,7.82,5.37%
2018/12/1,原生,掘地登山-好游快爆-插屏（原）,"2,325",249,33.1,14.24,10.71%
2018/12/1,开屏,十字绣-应用宝-开屏,901,36,5.03,5.58,4.00%
2018/12/1,开屏,保护气球-小米-开屏,42,0,0.04,0.95,0.00%
2018/12/1,原生,滚动的球球-小米-插屏(原),902,146,11.09,12.29,16.19%
2018/12/1,开屏,保护气球-华为-开屏,134,20,2.19,16.34,14.93%
2018/12/1,插屏,八分音符酱-百度-插屏-1.3.0,239,16,2.08,8.7,6.69%
2018/12/1,插屏,八分音符酱4399-插屏,191,10,0.88,4.61,5.24%
2018/12/1,开屏,疯狂投篮-oppo-开屏,422,85,7.24,17.16,20.14%
2018/12/1,Banner,十字绣-金立游戏-横幅,"3,189",9,0.63,0.2,0.28%
2018/12/1,原生,开心玻璃杯-qihoo-开屏(原),"6,754",570,29.97,4.44,8.44%
2018/12/1,插屏,贪吃蛇大战2048-vivo-插屏,68,3,0.56,8.24,4.41%
2018/12/1,插屏,八分音符酱-联想-插屏,0,0,0,0,0.00%
2018/12/1,原生,飞刀射击-oppo-插屏(原),"2,185",612,23.37,10.7,28.01%
2018/12/1,Banner,一球爆破-vivo-横幅,"1,006",11,0.57,0.57,1.09%
2018/12/1,插屏,魅影车手-小米-插屏,3,0,0,0,0.00%
2018/12/1,Banner,保护气球-小米-横幅,"6,969",35,2.8,0.4,0.50%
2018/12/1,Banner,红心大战接龙-oppo-横幅,"45,822",157,15.29,0.33,0.34%
2018/12/1,开屏,红心大战接龙-4399-开屏1,672,28,4.21,6.26,4.17%
2018/12/1,插屏,地表最强音-小米-插屏,14,0,0,0,0.00%
2018/12/1,插屏,纽扣的游戏-三星-插屏,"3,318",256,31.93,9.62,7.72%
2018/12/1,插屏,球球跳-联想-插屏,407,28,1.61,3.96,6.88%
2018/12/1,原生,保护气球-4399-开屏(原),"3,494",243,35.56,10.18,6.95%
2018/12/1,开屏,红心大战接龙-qihoo-开屏,42,3,0.33,7.86,7.14%
2018/12/1,原生,贪吃蛇-青柠-退出广告-自,2,0,0,0,0.00%
