时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018-11-01,Banner,欢乐球球-小米-横幅,253,3,0.34,1.34,1.19%
2018-11-01,插屏,指尖陀螺-阿里云-插屏-新,0,0,0.00,0.00,0.00%
2018-11-01,插屏,八分音符酱-oppo-插屏,"10,238",679,175.91,17.18,6.63%
2018-11-01,开屏,纽扣的游戏-联想-开屏,28,3,1.09,38.93,10.71%
2018-11-01,插屏,吃鸡大英雄-oppo-插屏,26,6,1.55,59.62,23.08%
2018-11-01,Banner,欢乐打豆豆-oppo-横幅,"21,289",69,15.38,0.72,0.32%
2018-11-01,Banner,吃鸡大英雄-小米-横幅,415,1,0.12,0.29,0.24%
2018-11-01,开屏,贪吃蛇大战2048-vivo-开屏,"1,200",149,49.84,41.53,12.42%
2018-11-01,插屏,跳弹4399-插屏,0,0,0.00,0.00,0.00%
2018-11-01,插屏,跳弹-OPPO-插屏-新,0,0,0.00,0.00,0.00%
2018-11-01,插屏,皮皮虾我们走-百度-插屏,5,0,0.00,0.00,0.00%
2018-11-01,Banner,欢乐打豆豆-魅族-横幅,"1,207",4,0.95,0.79,0.33%
2018-11-01,插屏,十字绣-金立游戏-激励插屏,0,0,0.00,0.00,0.00%
2018-11-01,原生,指尖飞车-好游-开屏(原),104,11,3.69,35.48,10.58%
2018-11-01,插屏,地表最强音-金立游戏-插屏,20,1,0.57,28.50,5.00%
2018-11-01,插屏,贪吃蛇大战2048-应用宝-插屏,214,21,3.09,14.44,9.81%
2018-11-01,插屏,吃鸡大英雄-魅族-插屏,838,20,12.35,14.74,2.39%
2018-11-01,开屏,魅影车手-小米-开屏,1,0,0.00,0.00,0.00%
2018-11-01,插屏,六角拼拼-小米-插屏,499,44,8.42,16.87,8.82%
2018-11-01,插屏,八分音符酱-小米-插屏,389,23,8.70,22.37,5.91%
2018-11-01,插屏,吃鸡大英雄-好游-插屏,174,10,2.07,11.90,5.75%
2018-11-01,插屏,贪吃蛇大战2048-oppo-插屏,"2,264",141,42.42,18.74,6.23%
2018-11-01,插屏,最强大脑-4399-插屏,3,0,0.02,6.67,0.00%
2018-11-01,开屏,贪吃蛇大战2048-华为-开屏,11,1,0.18,16.36,9.09%
2018-11-01,开屏,保护气球-魅族-开屏,21,1,0.86,40.95,4.76%
2018-11-02,插屏,六角拼拼-金立游戏-插屏,84,6,0.83,9.88,7.14%
2018-11-02,开屏,欢乐打豆豆-三星-开屏,436,50,10.08,23.12,11.47%
