时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018-10-23,插屏,贪吃蛇大战2048-应用宝-激励插屏,0,0,0.00,0.00,0.00%
2018-10-23,Banner,贪吃蛇大战2048-九游-横幅,84,0,0.00,0.00,0.00%
2018-10-23,插屏,红心大战接龙-联想-插屏,34,0,0.02,0.59,0.00%
2018-10-23,插屏,疯狂投篮-应用宝-插屏,183,9,0.57,3.11,4.92%
2018-10-23,开屏,贪吃蛇大战20484399-开屏,54,4,0.37,6.85,7.41%
2018-10-23,Banner,纽扣的游戏-金立游戏-横幅,"1,653",20,1.68,1.02,1.21%
2018-10-23,插屏,八分音符酱-阿里云-插屏,0,0,0.00,0.00,0.00%
2018-10-23,开屏,吃鸡大英雄-联想-开屏,7,0,0.01,1.43,0.00%
2018-10-23,Banner,全民跳一跳-小米-横幅,50,0,0.01,0.20,0.00%
2018-10-23,插屏,指尖陀螺-联想-插屏,29,4,0.44,15.17,13.79%
2018-10-23,插屏,红心大战接龙-4399-插屏1,"1,774",48,4.31,2.43,2.71%
2018-10-23,插屏,欢乐打豆豆-通用-插屏,357,11,0.86,2.41,3.08%
2018-10-23,插屏,开心玻璃杯-联想-插屏,"1,154",72,7.32,6.34,6.24%
2018-10-23,开屏,纽扣的游戏-oppo-开屏,"3,769",531,57.57,15.27,14.09%
2018-10-23,Banner,面条滑溜溜-魅族-横幅,"82,008",259,26.56,0.32,0.32%
2018-10-23,开屏,保护气球-中兴-开屏,53,2,0.24,4.53,3.77%
2018-10-23,开屏,疯狂投篮-三星-开屏,674,120,16.50,24.48,17.80%
2018-10-23,原生,指尖飞车-taptap-开屏(原),643,53,8.31,12.92,8.24%
2018-10-23,Banner,保护气球-好游-横幅,"2,355",5,0.57,0.24,0.21%
2018-10-23,插屏,欢乐打豆豆-联想-插屏,0,0,0.00,0.00,0.00%
2018-10-23,插屏,纽扣的游戏-oppo-插屏,0,0,0.00,0.00,0.00%
2018-10-23,开屏,开心玻璃杯-联想-开屏,732,47,7.75,10.59,6.42%
2018-10-23,插屏,八分音符酱-阿里云-插屏-激励,0,0,0.00,0.00,0.00%
2018-10-23,Banner,指尖飞车-360-横幅,175,0,0.00,0.00,0.00%
2018-10-23,开屏,飞刀射击-小米-开屏,66,9,1.12,16.97,13.64%
2018-10-23,插屏,保护气球-小米-插屏,199,8,0.84,4.22,4.02%
2018-10-23,Banner,球球跳一跳-好游-横幅,4,0,0.00,0.00,0.00%
2018-10-23,开屏,贪吃蛇大战2048-联想-开屏,96,6,1.10,11.46,6.25%
2018-10-23,插屏,保护气球-vivo-插屏,"13,048",712,69.05,5.29,5.46%
2018-10-23,插屏,八分音符酱-九游-插屏,1,0,0.00,0.00,0.00%
2018-10-23,Banner,飞刀射击-联想-横幅,282,7,0.83,2.94,2.48%
2018-10-23,Banner,八分音符酱-九游-横幅,84,0,0.00,0.00,0.00%
2018-10-23,插屏,面条滑溜溜-好游-插屏,"1,506",78,6.11,4.06,5.18%
2018-10-23,开屏,贪吃蛇大战2048-通用-开屏,187,12,1.71,9.14,6.42%
2018-10-23,插屏,飞刀射击-小米-插屏,87,6,0.64,7.36,6.90%
2018-10-23,开屏,贪吃蛇大战2048-小米-开屏,137,12,1.63,11.90,8.76%
2018-10-23,Banner,十字绣-联想-横幅,228,4,0.02,0.09,1.75%
2018-10-23,原生,贪吃蛇-小米-退出广告-自,0,0,0.00,0.00,0.00%
2018-10-23,Banner,开心玻璃杯-qihoo-横幅,"10,890",36,6.16,0.57,0.33%
2018-10-23,开屏,奇妙的森林-小米-开屏,10,0,0.01,1.00,0.00%
2018-10-23,插屏,球球跳一跳-联想-插屏,2,0,0.00,0.00,0.00%
2018-10-23,插屏,斗图大作战-插屏,10,1,0.09,9.00,10.00%
2018-10-23,插屏,纽扣的游戏-通用-插屏-新,0,0,0.00,0.00,0.00%
2018-10-23,Banner,全民跳一跳-努比亚-横幅,175,1,0.23,1.31,0.57%
2018-10-23,Banner,指尖飞车-联想-横幅,235,0,0.05,0.21,0.00%
2018-10-23,Banner,球球跳-联想-横幅,281,1,0.10,0.36,0.36%
2018-10-23,插屏,魅影车手-好游-插屏,155,6,0.26,1.68,3.87%
2018-10-23,插屏,面条滑溜溜-魅族-插屏,"133,103","10,819",512.24,3.85,8.13%
