日期,应用名称,广告位类型,展现数,点击数,点击率,预计收入,平均点击收益,千次展示收益
2018/12/11,保护气球,插屏,7598,604,7.95%,109.39641,0.18,14.4
2018/12/11,保护气球,视频,765,186,24.31%,24.67219,0.13,32.25
2018/12/11,线条飞跃,插屏,292,33,11.30%,6.64865,0.2,22.77
2018/12/11,致命漂移,插屏,422,33,7.82%,6.24701,0.19,14.8
2018/12/11,致命漂移,视频,89,18,20.22%,3.33361,0.19,37.46
2018/12/11,开心玻璃杯,插屏,17805,495,2.78%,166.97722,0.34,9.38
2018/12/11,开心玻璃杯,视频,2599,512,19.70%,52.215,0.1,20.09
2018/12/11,红心大战接龙,插屏,220,3,1.36%,0.49801,0.17,2.26
2018/12/11,红心大战接龙,视频,10,0,0%,0.00936,0,0.94
2018/12/11,十字绣,插屏,315,23,7.30%,8.3805,0.36,26.6
2018/12/11,十字绣,视频,68,9,13.24%,1.76168,0.2,25.91
2018/12/11,贪吃蛇大战2048,插屏,132,11,8.33%,5.28798,0.48,40.06
2018/12/11,贪吃蛇大战2048,视频,16,5,31.25%,0.78752,0.16,49.22
2018/12/11,六角拼拼,插屏,668,14,2.10%,7.67535,0.55,11.49
2018/12/11,六角拼拼,视频,37,11,29.73%,0.89967,0.08,24.32
2018/12/11,面条滑溜溜,插屏,3778,249,6.59%,49.63817,0.2,13.14
2018/12/11,面条滑溜溜,视频,598,143,23.91%,17.23599,0.12,28.82
2018/12/11,完美贴合,插屏,3400,132,3.88%,48.29208,0.37,14.2
2018/12/11,完美贴合,视频,308,61,19.81%,7.73661,0.13,25.12
2018/12/11,吃鸡大英雄,插屏,2391,109,4.56%,38.04192,0.35,15.91
2018/12/11,吃鸡大英雄,插屏,103,8,7.77%,2.34794,0.29,22.8
2018/12/11,吃鸡大英雄,视频,481,104,21.62%,13.89505,0.13,28.89
2018/12/11,吃鸡大英雄,视频,20,9,45%,1.31645,0.15,65.82
2018/12/11,指尖陀螺,插屏,158,14,8.86%,4.7441,0.34,30.03
