日期,应用名称,广告位类型,展现数,点击数,点击率,预计收入,平均点击收益,千次展示收益
2018/12/11,指尖陀螺,视频,5,1,20%,0.16052,0.16,32.1
2018/12/11,球球跳一跳,插屏,59,3,5.08%,0.47114,0.16,7.99
2018/12/11,欢乐打豆豆,插屏,138,0,0%,0.03179,0,0.23
2018/12/11,欢乐打豆豆,视频,2,1,50%,0.34996,0.35,174.98
2018/12/11,疯狂投篮,插屏,287,13,4.53%,3.60469,0.28,12.56
2018/12/11,疯狂投篮,视频,17,3,17.65%,0.24173,0.08,14.22
2018/12/11,芝士就是力量,插屏,100,3,3%,1.418,0.47,14.18
2018/12/11,芝士就是力量,视频,61,4,6.56%,0.73478,0.18,12.05
2018/12/11,魅影车手,插屏,242,8,3.31%,1.31181,0.16,5.42
2018/12/11,魅影车手,视频,10,1,10%,0.1998,0.2,19.98
2018/12/11,飞刀射击,插屏,26,1,3.85%,0.17587,0.18,6.76
2018/12/11,飞刀射击,视频,34,8,23.53%,1.97296,0.25,58.03
2018/12/12,保护气球,插屏,5588,408,7.30%,95.10014,0.23,17.02
2018/12/12,保护气球,视频,443,88,19.86%,13.79031,0.16,31.13
2018/12/12,线条飞跃,插屏,218,16,7.34%,2.84564,0.18,13.05
2018/12/12,致命漂移,插屏,387,20,5.17%,4.42882,0.22,11.44
2018/12/12,致命漂移,视频,119,19,15.97%,3.17449,0.17,26.68
2018/12/12,开心玻璃杯,插屏,14704,438,2.98%,150.44641,0.34,10.23
2018/12/12,开心玻璃杯,视频,2210,423,19.14%,46.61962,0.11,21.09
2018/12/12,红心大战接龙,插屏,94,1,1.06%,0.0603,0.06,0.64
2018/12/12,红心大战接龙,视频,20,0,0%,0.01815,0,0.91
2018/12/12,十字绣,插屏,172,20,11.63%,10.08656,0.5,58.64
2018/12/12,十字绣,视频,37,5,13.51%,0.67362,0.13,18.21
2018/12/12,贪吃蛇大战2048,插屏,110,11,10%,6.3678,0.58,57.89
2018/12/12,贪吃蛇大战2048,视频,16,4,25%,0.54928,0.14,34.33
2018/12/12,六角拼拼,插屏,664,8,1.20%,4.68873,0.59,7.06
2018/12/12,六角拼拼,视频,64,8,12.50%,0.80813,0.1,12.63
2018/12/12,面条滑溜溜,插屏,2850,170,5.96%,45.81063,0.27,16.07
2018/12/12,面条滑溜溜,视频,493,105,21.30%,14.3841,0.14,29.18
2018/12/12,完美贴合,插屏,2336,97,4.15%,36.75283,0.38,15.73
2018/12/12,完美贴合,视频,267,64,23.97%,8.89467,0.14,33.31
2018/12/12,吃鸡大英雄,插屏,2874,111,3.86%,31.74165,0.29,11.04
2018/12/12,吃鸡大英雄,插屏,64,4,6.25%,1.43872,0.36,22.48
2018/12/12,吃鸡大英雄,视频,496,89,17.94%,11.27292,0.13,22.73
2018/12/12,吃鸡大英雄,视频,35,7,20%,0.31862,0.05,9.1
2018/12/12,指尖陀螺,插屏,54,7,12.96%,1.41892,0.2,26.28
2018/12/12,指尖陀螺,视频,1,0,0%,0,0,0
2018/12/12,球球跳一跳,插屏,21,1,4.76%,0.40958,0.41,19.5
2018/12/12,欢乐打豆豆,插屏,163,0,0%,0.01252,0,0.08
2018/12/12,欢乐打豆豆,视频,1,1,100%,0.00274,0,2.74
2018/12/12,疯狂投篮,插屏,198,9,4.55%,3.69102,0.41,18.64
2018/12/12,疯狂投篮,视频,7,0,0%,0.00372,0,0.53
2018/12/12,芝士就是力量,插屏,87,4,4.60%,3.74826,0.94,43.08
2018/12/12,芝士就是力量,视频,35,4,11.43%,0.44316,0.11,12.66
2018/12/12,魅影车手,插屏,98,5,5.10%,0.81804,0.16,8.35
2018/12/12,魅影车手,视频,0,0,0,0,0,0
2018/12/12,飞刀射击,插屏,21,1,4.76%,0.27564,0.28,13.13
2018/12/12,飞刀射击,视频,19,6,31.58%,1.07384,0.18,56.52
2018/12/13,保护气球,插屏,5323,366,6.88%,73.79012,0.2,13.86
2018/12/14,保护气球,插屏,8791,601,6.84%,124.37884,0.21,14.15
2018/12/13,保护气球,视频,609,109,17.90%,15.6167,0.14,25.64
2018/12/14,保护气球,视频,956,180,18.83%,26.63969,0.15,27.87
2018/12/13,线条飞跃,插屏,150,9,6%,2.04288,0.23,13.62
2018/12/14,线条飞跃,插屏,318,33,10.38%,8.08466,0.24,25.42
2018/12/13,线条飞跃,视频,1,0,0%,0,0,0
2018/12/14,线条飞跃,视频,3,1,33.33%,0.20994,0.21,69.98
2018/12/13,致命漂移,插屏,309,8,2.59%,2.74458,0.34,8.88
2018/12/14,致命漂移,插屏,572,33,5.77%,5.97723,0.18,10.45
2018/12/13,致命漂移,视频,93,23,24.73%,3.01583,0.13,32.43
2018/12/14,致命漂移,视频,95,18,18.95%,2.27523,0.13,23.95
2018/12/13,开心玻璃杯,插屏,15544,446,2.87%,149.41964,0.34,9.61
2018/12/14,开心玻璃杯,插屏,20146,528,2.62%,124.35047,0.24,6.17
2018/12/13,开心玻璃杯,视频,2351,429,18.25%,52.15799,0.12,22.19
2018/12/14,开心玻璃杯,视频,3154,588,18.64%,70.5558,0.12,22.37
2018/12/13,红心大战接龙,插屏,124,1,0.81%,0.25885,0.26,2.09
2018/12/14,红心大战接龙,插屏,257,3,1.17%,0.70392,0.23,2.74
2018/12/13,红心大战接龙,视频,13,0,0%,0.0033,0,0.25
2018/12/14,红心大战接龙,视频,16,1,6.25%,0.32624,0.33,20.39
2018/12/13,十字绣,插屏,91,11,12.09%,2.70146,0.25,29.69
2018/12/14,十字绣,插屏,188,19,10.11%,4.87624,0.26,25.94
2018/12/13,十字绣,视频,29,4,13.79%,1.02143,0.26,35.22
2018/12/14,十字绣,视频,40,4,10%,1.09136,0.27,27.28
2018/12/13,贪吃蛇大战2048,插屏,220,9,4.09%,4.0463,0.45,18.39
2018/12/14,贪吃蛇大战2048,插屏,198,11,5.56%,2.22202,0.2,11.22
2018/12/13,贪吃蛇大战2048,视频,32,7,21.88%,1.2265,0.18,38.33
2018/12/14,贪吃蛇大战2048,视频,42,10,23.81%,1.76151,0.18,41.94
2018/12/13,六角拼拼,插屏,692,9,1.30%,5.11841,0.57,7.4
2018/12/14,六角拼拼,插屏,592,11,1.86%,2.48807,0.23,4.2
2018/12/13,六角拼拼,视频,51,14,27.45%,2.22166,0.16,43.56
2018/12/14,六角拼拼,视频,44,9,20.45%,1.09161,0.12,24.81
2018/12/13,面条滑溜溜,插屏,3379,188,5.56%,45.74649,0.24,13.54
2018/12/14,面条滑溜溜,插屏,4522,203,4.49%,50.06648,0.25,11.07
2018/12/13,面条滑溜溜,视频,601,116,19.30%,18.08944,0.16,30.1
2018/12/14,面条滑溜溜,视频,742,170,22.91%,21.79439,0.13,29.37
2018/12/13,完美贴合,插屏,2260,95,4.20%,39.71833,0.42,17.57
2018/12/14,完美贴合,插屏,2695,115,4.27%,28.49375,0.25,10.57
2018/12/13,完美贴合,视频,236,60,25.42%,7.58196,0.13,32.13
2018/12/14,完美贴合,视频,314,57,18.15%,5.8664,0.1,18.68
2018/12/13,吃鸡大英雄,插屏,2443,94,3.85%,26.61631,0.28,10.89
2018/12/13,吃鸡大英雄,插屏,185,3,1.62%,1.18681,0.4,6.42
2018/12/14,吃鸡大英雄,插屏,2872,136,4.74%,26.58556,0.2,9.26
2018/12/14,吃鸡大英雄,插屏,393,12,3.05%,2.93593,0.24,7.47
2018/12/13,吃鸡大英雄,视频,456,82,17.98%,12.90973,0.16,28.31
2018/12/13,吃鸡大英雄,视频,55,4,7.27%,0.30784,0.08,5.6
2018/12/14,吃鸡大英雄,视频,612,153,25%,19.31816,0.13,31.57
2018/12/14,吃鸡大英雄,视频,15,3,20%,0.70708,0.24,47.14
2018/12/13,指尖陀螺,插屏,63,4,6.35%,1.90874,0.48,30.3
2018/12/14,指尖陀螺,插屏,157,19,12.10%,3.70557,0.2,23.6
2018/12/13,指尖陀螺,视频,1,0,0%,0,0,0
2018/12/14,指尖陀螺,视频,4,1,25%,0.02267,0.02,5.67
2018/12/13,球球跳一跳,插屏,42,0,0%,0,0,0
2018/12/14,球球跳一跳,插屏,90,7,7.78%,1.5782,0.23,17.54
2018/12/13,欢乐打豆豆,插屏,221,4,1.81%,0.72578,0.18,3.28
2018/12/14,欢乐打豆豆,插屏,293,3,1.02%,0.58032,0.19,1.98
2018/12/14,欢乐打豆豆,视频,1,0,0%,0,0,0
2018/12/13,疯狂投篮,插屏,168,10,5.95%,3.56664,0.36,21.23
2018/12/14,疯狂投篮,插屏,340,15,4.41%,4.5032,0.3,13.24
2018/12/13,疯狂投篮,视频,11,4,36.36%,0.76508,0.19,69.55
2018/12/14,疯狂投篮,视频,20,6,30%,1.58345,0.26,79.17
2018/12/13,芝士就是力量,插屏,28,2,7.14%,0.51944,0.26,18.55
2018/12/14,芝士就是力量,插屏,23,1,4.35%,0.1602,0.16,6.97
2018/12/14,芝士就是力量,视频,13,1,7.69%,0.31775,0.32,24.44
2018/12/13,魅影车手,插屏,47,4,8.51%,1.17957,0.29,25.1
2018/12/14,魅影车手,插屏,42,3,7.14%,0.64916,0.22,15.46
2018/12/13,魅影车手,视频,5,1,20%,0.17222,0.17,34.44
2018/12/14,魅影车手,视频,4,1,25%,0.15992,0.16,39.98
2018/12/13,飞刀射击,插屏,49,2,4.08%,0.27902,0.14,5.69
2018/12/14,飞刀射击,插屏,21,1,4.76%,0.18958,0.19,9.03
2018/12/13,飞刀射击,视频,37,6,16.22%,2.08926,0.35,56.47
2018/12/14,飞刀射击,视频,29,7,24.14%,1.67066,0.24,57.61
2018/12/14,掘地登山,插屏,30,2,6.67%,0.56167,0.28,18.72
2018/12/14,掘地登山,视频,6,0,0%,0.02185,0,3.64
2018/12/14,粘住火柴蜘蛛人,插屏,56,2,3.57%,0.28888,0.14,5.16
2018/12/14,粘住火柴蜘蛛人,视频,5,1,20%,0.06961,0.07,13.92
2018/12/14,拥挤城市,插屏,9057,121,1.34%,26.289,0.22,2.9
2018/12/14,拥挤城市,视频,370,91,24.59%,16.49115,0.18,44.57
2018/12/15,保护气球,插屏,21282,1483,6.97%,252.65327,0.17,11.87
2018/12/15,保护气球,视频,2319,490,21.13%,56.47387,0.12,24.35
2018/12/15,线条飞跃,插屏,611,71,11.62%,12.00464,0.17,19.65
2018/12/15,线条飞跃,视频,1,0,0%,0,0,0
2018/12/15,致命漂移,插屏,859,55,6.40%,9.32787,0.17,10.86
2018/12/15,致命漂移,视频,221,41,18.55%,5.87941,0.14,26.6
2018/12/15,开心玻璃杯,插屏,46754,1205,2.58%,275.27439,0.23,5.89
2018/12/15,开心玻璃杯,视频,7175,1330,18.54%,151.43676,0.11,21.11
2018/12/15,红心大战接龙,插屏,281,5,1.78%,1.53489,0.31,5.46
2018/12/15,红心大战接龙,视频,29,3,10.34%,0.50682,0.17,17.48
2018/12/15,十字绣,插屏,538,64,11.90%,17.08234,0.27,31.75
2018/12/15,十字绣,视频,149,18,12.08%,3.92853,0.22,26.37
2018/12/15,贪吃蛇大战2048,插屏,539,40,7.42%,12.45984,0.31,23.12
2018/12/15,贪吃蛇大战2048,视频,101,25,24.75%,3.75004,0.15,37.13
2018/12/15,六角拼拼,插屏,866,13,1.50%,3.66996,0.28,4.24
2018/12/15,六角拼拼,视频,59,16,27.12%,1.70675,0.11,28.93
2018/12/15,面条滑溜溜,插屏,11199,505,4.51%,93.45623,0.19,8.35
2018/12/15,面条滑溜溜,视频,1840,446,24.24%,45.20689,0.1,24.57
2018/12/15,完美贴合,插屏,5674,246,4.34%,56.89834,0.23,10.03
2018/12/15,完美贴合,视频,689,116,16.84%,13.2583,0.11,19.24
2018/12/15,吃鸡大英雄,插屏,6753,287,4.25%,54.70851,0.19,8.1
2018/12/15,吃鸡大英雄,插屏,373,16,4.29%,3.14761,0.2,8.44
2018/12/15,吃鸡大英雄,视频,1566,344,21.97%,43.55027,0.13,27.81
2018/12/15,吃鸡大英雄,视频,69,12,17.39%,1.61119,0.13,23.35
2018/12/15,指尖陀螺,插屏,452,22,4.87%,4.64067,0.21,10.27
2018/12/15,指尖陀螺,视频,8,2,25%,0.19985,0.1,24.98
2018/12/15,球球跳一跳,插屏,76,4,5.26%,0.59891,0.15,7.88
2018/12/15,欢乐打豆豆,插屏,295,8,2.71%,2.07504,0.26,7.03
2018/12/15,欢乐打豆豆,视频,3,1,33.33%,0.15994,0.16,53.31
2018/12/15,疯狂投篮,插屏,632,40,6.33%,10.71374,0.27,16.95
2018/12/15,疯狂投篮,视频,59,13,22.03%,2.38029,0.18,40.34
2018/12/15,芝士就是力量,插屏,97,7,7.22%,2.13996,0.31,22.06
2018/12/15,芝士就是力量,视频,55,4,7.27%,0.24002,0.06,4.36
2018/12/15,魅影车手,插屏,344,16,4.65%,3.93094,0.25,11.43
2018/12/15,魅影车手,视频,21,7,33.33%,0.87518,0.13,41.68
2018/12/15,飞刀射击,插屏,53,4,7.55%,0.72885,0.18,13.75
2018/12/15,飞刀射击,视频,49,7,14.29%,1.5865,0.23,32.38
2018/12/15,掘地登山,插屏,292,34,11.64%,9.16643,0.27,31.39
2018/12/15,掘地登山,视频,28,5,17.86%,1.03344,0.21,36.91
2018/12/15,粘住火柴蜘蛛人,插屏,700,15,2.14%,2.92805,0.2,4.18
2018/12/15,粘住火柴蜘蛛人,视频,134,18,13.43%,4.03608,0.22,30.12
2018/12/15,拥挤城市,插屏,39546,839,2.12%,150.60925,0.18,3.81
2018/12/15,拥挤城市,视频,1519,352,23.17%,51.86133,0.15,34.14
2018/12/16,保护气球,插屏,20348,1507,7.41%,265.88055,0.18,13.07
2018/12/16,保护气球,视频,2218,452,20.38%,51.29656,0.11,23.13
2018/12/16,线条飞跃,插屏,570,50,8.77%,9.88924,0.2,17.35
2018/12/16,线条飞跃,视频,5,0,0%,0,0,0
2018/12/16,致命漂移,插屏,660,40,6.06%,6.82753,0.17,10.34
2018/12/16,致命漂移,视频,191,31,16.23%,4.69496,0.15,24.58
2018/12/16,开心玻璃杯,插屏,46031,1232,2.68%,280.34157,0.23,6.09
2018/12/16,开心玻璃杯,视频,6999,1335,19.07%,120.83542,0.09,17.26
2018/12/16,红心大战接龙,插屏,191,4,2.09%,1.33121,0.33,6.97
2018/12/16,红心大战接龙,视频,14,1,7.14%,0.02199,0.02,1.57
2018/12/16,十字绣,插屏,532,59,11.09%,14.03054,0.24,26.37
2018/12/16,十字绣,视频,127,18,14.17%,3.43287,0.19,27.03
2018/12/16,贪吃蛇大战2048,插屏,508,41,8.07%,8.28124,0.2,16.3
2018/12/16,贪吃蛇大战2048,视频,56,16,28.57%,1.61281,0.1,28.8
2018/12/16,六角拼拼,插屏,724,7,0.97%,1.60686,0.23,2.22
2018/12/16,六角拼拼,视频,44,13,29.55%,0.92075,0.07,20.93
2018/12/16,面条滑溜溜,插屏,8673,422,4.87%,84.59755,0.2,9.75
2018/12/16,面条滑溜溜,视频,1490,363,24.36%,42.74347,0.12,28.69
2018/12/16,完美贴合,插屏,5717,260,4.55%,59.3568,0.23,10.38
2018/12/16,完美贴合,视频,627,132,21.05%,15.38896,0.12,24.54
2018/12/16,吃鸡大英雄,插屏,6713,289,4.31%,55.21526,0.19,8.23
2018/12/16,吃鸡大英雄,插屏,412,9,2.18%,2.00448,0.22,4.87
2018/12/16,吃鸡大英雄,视频,1530,334,21.83%,39.97115,0.12,26.12
2018/12/16,吃鸡大英雄,视频,50,17,34%,0.82346,0.05,16.47
2018/12/16,指尖陀螺,插屏,657,38,5.78%,8.59037,0.23,13.08
2018/12/16,指尖陀螺,视频,10,1,10%,0.19613,0.2,19.61
2018/12/16,球球跳一跳,插屏,91,3,3.30%,0.51263,0.17,5.63
2018/12/16,欢乐打豆豆,插屏,190,4,2.11%,0.78984,0.2,4.16
2018/12/16,疯狂投篮,插屏,376,23,6.12%,6.38664,0.28,16.99
2018/12/16,疯狂投篮,视频,42,7,16.67%,1.29532,0.19,30.84
2018/12/16,芝士就是力量,插屏,252,7,2.78%,1.61758,0.23,6.42
2018/12/16,芝士就是力量,视频,87,16,18.39%,1.73259,0.11,19.91
2018/12/16,魅影车手,插屏,85,7,8.24%,1.4283,0.2,16.8
2018/12/16,魅影车手,视频,7,0,0%,0,0,0
2018/12/16,飞刀射击,插屏,118,4,3.39%,1.03828,0.26,8.8
2018/12/16,飞刀射击,视频,100,16,16%,5.38446,0.34,53.84
2018/12/16,掘地登山,插屏,328,30,9.15%,6.63009,0.22,20.21
2018/12/16,掘地登山,视频,44,10,22.73%,1.97606,0.2,44.91
2018/12/16,粘住火柴蜘蛛人,插屏,444,16,3.60%,3.62604,0.23,8.17
2018/12/16,粘住火柴蜘蛛人,视频,109,21,19.27%,3.96051,0.19,36.33
2018/12/16,拥挤城市,插屏,48637,1096,2.25%,199.18304,0.18,4.1
2018/12/16,拥挤城市,视频,1839,401,21.81%,66.58582,0.17,36.21
